Time ; x ; y ; z
0.0200;-0.2230;-0.8070;0.2878
0.0400;-0.2230;-0.8070;0.2878
0.0600;-0.2235;-0.8339;0.2677
0.0800;-0.1578;-0.7372;0.2006
0.1000;-0.1578;-0.7372;0.2006
0.1200;-0.0298;-0.5711;-0.0044
0.1400;-0.0298;-0.5711;-0.0044
0.1600;0.0662;-0.4767;-0.0713
0.1800;0.1766;-0.1336;-0.4216
0.2000;0.1766;-0.1336;-0.4216
0.2200;0.1703;0.0558;-0.6947
0.2400;0.1703;0.0558;-0.6947
0.2600;0.0833;0.1984;-1.0301
0.2800;0.0154;0.3596;-1.3687
0.3000;0.0154;0.3596;-1.3687
0.3200;0.1150;0.4070;-1.8633
0.3400;0.1150;0.4070;-1.8633
0.3600;0.1124;0.4019;-1.8926
0.3800;-0.1165;0.3655;-1.7062
0.4000;-0.1165;0.3655;-1.7062
0.4200;-0.1456;0.2810;-1.5384
0.4400;-0.1456;0.2810;-1.5384
0.4600;-0.0467;0.1901;-1.1915
0.4800;-0.0391;0.1620;-0.9732
0.5000;-0.0391;0.1620;-0.9732
0.5200;-0.0237;0.1425;-0.9038
0.5400;-0.0237;0.1425;-0.9038
0.5600;-0.0078;0.0829;-0.8075
0.5800;-0.0078;0.0829;-0.8075
0.6000;-0.0120;0.0423;-0.7821
0.6200;-0.0120;0.0423;-0.7821
0.6400;-0.0091;0.0377;-0.8044
0.6600;0.0252;0.0543;-0.9280
0.6800;0.0252;0.0543;-0.9280
0.7000;0.0244;0.0697;-1.0240
0.7200;0.0244;0.0697;-1.0240
